Package,LibPath,Version,Priority,License,License_is_FOSS,NeedsCompilation,Built
desc,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2.0,NA,MIT + file LICENSE,NA,no,3.5.0
descriptr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.1,NA,MIT + file LICENSE,NA,no,3.5.0
DescTools,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.99.26,NA,GPL (>= 2),NA,yes,3.5.1
deSolve,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.21,NA,GPL (>= 2),NA,yes,3.5.0
devtools,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0.1,NA,GPL (>= 2),NA,no,3.5.1
dials,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0.2,NA,GPL-2,NA,no,3.5.0
dichromat,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0-0,NA,GPL-2,NA,NA,3.5.0
digest,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6.18,NA,GPL (>= 2),NA,yes,3.5.0
dimRed,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.2,NA,GPL-3 | file LICENSE,NA,yes,3.5.1
diptest,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.75-7,NA,GPL (>= 2),NA,yes,3.5.0
directlabels,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2018.05.22,NA,GPL-3,NA,no,3.5.0
dismo,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-4,NA,GPL (>= 3),NA,yes,3.5.0
DMwR,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.1,NA,GPL (>= 2),NA,no,3.5.0
doFuture,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6.0,NA,LGPL (>= 2.1),NA,no,3.5.1
doParallel,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0.14,NA,GPL-2,NA,no,3.5.1
doRNG,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7.1,NA,GPL (>= 2),NA,no,3.5.0
dotCall64,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-0,NA,GPL (>= 2),NA,yes,3.5.1
dplyr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.7.8,NA,MIT + file LICENSE,NA,yes,3.5.1
DRR,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0.3,NA,GPL-3 | file LICENSE,NA,no,3.5.0
DT,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.5,NA,GPL-3 | file LICENSE,NA,no,3.5.1
dtplyr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0.2,NA,GPL (>= 2),NA,no,3.5.0
dtt,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1-2,NA,GPL (>= 2),NA,no,3.5.0
dummies,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.5.6,NA,GPL (>= 2),NA,NA,3.5.0
dummy,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.3,NA,GPL (>= 2),NA,no,3.5.0
dygraphs,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.1.6,NA,MIT + file LICENSE,NA,no,3.5.0
dynamicTreeCut,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.63-1,NA,GPL (>= 2),NA,no,3.5.0
e1071,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7-0,NA,GPL-2,NA,yes,3.5.1
EBImage,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,4.10.1,NA,LGPL,NA,yes,3.2.1
effects,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,4.1-0,NA,GPL (>= 2),NA,no,3.5.1
effsize,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.7.4,NA,GPL-2,NA,no,3.5.2
egg,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.2,NA,GPL-3,NA,no,3.5.1
elastic,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.8.4,NA,MIT + file LICENSE,NA,no,3.5.0
elasticnet,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.1,NA,GPL (>= 2),NA,no,3.5.1
ElemStatLearn,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2015.6.26,NA,GPL (>= 2),NA,no,3.5.0
ellipse,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.1,NA,GPL (>= 2),NA,no,3.5.0
elliptic,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3-9,NA,GPL-2,NA,no,3.5.0
emmeans,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3.1,NA,GPL-2 | GPL-3,NA,no,3.5.0
EMT,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1,NA,GPL,NA,NA,3.5.0
enc,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.0,NA,GPL-3,NA,yes,3.5.1
english,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-4,NA,GPL-2,NA,no,3.5.0
eply,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.2,NA,GPL-3,NA,no,3.5.0
estimability,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3,NA,GPL (>= 3),NA,no,3.5.0
evaluate,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.12,NA,MIT + file LICENSE,NA,no,3.5.0
evir,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7-4,NA,GPL (>= 2),NA,no,3.5.0
Exact,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7,NA,GPL-2,NA,no,3.5.0
